Make,proportion
HAWKER BEECHCRAFT,7.880575507171323e-05
Kolb,7.880575507171323e-05
Molino Oy,7.880575507171323e-05
Commonwealth,7.880575507171323e-05
LIBERTY AEROSPACE INCORPORATED,7.880575507171323e-05
DASSAULT,7.880575507171323e-05
CUB CRAFTERS,7.880575507171323e-05
S.n.i.a.s.,7.880575507171323e-05
Univair,7.880575507171323e-05
"Rotec Engineering, Inc.",7.880575507171323e-05
Ayres Corporation,7.880575507171323e-05
MD HELICOPTER INC,7.880575507171323e-05
Czech Aircraft Works,7.880575507171323e-05
Hawker Beechcraft Corp.,7.880575507171323e-05
DORNIER,7.880575507171323e-05
Air Tractor Inc.,6.754779006146849e-05
Wells,6.754779006146849e-05
Aerosport,6.754779006146849e-05
Stevens,6.754779006146849e-05
ARBC INC DBA LINDSTRAND,6.754779006146849e-05
Lindstrand,6.754779006146849e-05
Aircoupe,6.754779006146849e-05
Ward,6.754779006146849e-05
British Aircraft Corp. (bac),6.754779006146849e-05
Just,6.754779006146849e-05
Colonial,6.754779006146849e-05
ARROW FALCON EXPORTERS INC,6.754779006146849e-05
Silvaire,6.754779006146849e-05
QUEST AIRCRAFT COMPANY LLC,6.754779006146849e-05
King,6.754779006146849e-05
Progressive Aerodyne,6.754779006146849e-05
Morrison,6.754779006146849e-05
EMBRAER-EMPRESA BRASILEIRA DE,6.754779006146849e-05
Beagle Aircraft,6.754779006146849e-05
Bradley,6.754779006146849e-05
Convair Div. Of Gen. Dynamics,6.754779006146849e-05
Saab,6.754779006146849e-05
Intermountain Mfg. (imco),6.754779006146849e-05
Scheibe Flugzeugbau,6.754779006146849e-05
Amateur Built,6.754779006146849e-05
NANCHANG CHINA,6.754779006146849e-05
Avid,6.754779006146849e-05
Wright,6.754779006146849e-05
Md Helicopter,6.754779006146849e-05
Scott,6.754779006146849e-05
Myers,6.754779006146849e-05
Challenger,6.754779006146849e-05
Bryan,6.754779006146849e-05
