Longitude,proportion
0814632W,0.0001163704070054985
-122.309444,0.0001163704070054985
0725143W,0.0001163704070054985
1553625W,0.0001163704070054985
-161.838055,0.0001163704070054985
0801319W,0.0001163704070054985
-150.083333,0.0001163704070054985
-122.287222,0.0001163704070054985
0085112W,0.0001163704070054985
-95.476667,0.0001163704070054985
0098274W,0.0001163704070054985
-122.933333,0.0001163704070054985
-117.966667,0.0001163704070054985
1195634W,0.0001163704070054985
-119.750556,0.0001163704070054985
-92,0.0001163704070054985
-97.308056,0.0001163704070054985
1051332W,0.0001163704070054985
-110.940833,0.0001163704070054985
-96.670834,0.0001163704070054985
-80.1525,0.0001163704070054985
-89.153056,0.0001163704070054985
-83.530278,0.0001163704070054985
0008217W,8.727780525412388e-05
1203833W,8.727780525412388e-05
0072312W,8.727780525412388e-05
0872454W,8.727780525412388e-05
0095279W,8.727780525412388e-05
0008332W,8.727780525412388e-05
0111516W,8.727780525412388e-05
0009600W,8.727780525412388e-05
0106952W,8.727780525412388e-05
0803843W,8.727780525412388e-05
-122.122223,8.727780525412388e-05
0952031W,8.727780525412388e-05
1112214W,8.727780525412388e-05
0117742W,8.727780525412388e-05
0091859W,8.727780525412388e-05
0121120W,8.727780525412388e-05
0955658W,8.727780525412388e-05
1343435W,8.727780525412388e-05
0095919W,8.727780525412388e-05
0092452W,8.727780525412388e-05
-121.410278,8.727780525412388e-05
0803325W,8.727780525412388e-05
0961123W,8.727780525412388e-05
0119310W,8.727780525412388e-05
0803054W,8.727780525412388e-05
-94.020556,8.727780525412388e-05
-85.251389,8.727780525412388e-05
151,8.727780525412388e-05
0097520W,8.727780525412388e-05
-75.583333,8.727780525412388e-05
-122.435277,8.727780525412388e-05
0805714W,8.727780525412388e-05
1202356W,8.727780525412388e-05
0742454W,8.727780525412388e-05
0951134W,8.727780525412388e-05
0098512W,8.727780525412388e-05
0803330W,8.727780525412388e-05
-82.516389,8.727780525412388e-05
-81.964444,8.727780525412388e-05
0122245W,8.727780525412388e-05
0864053W,8.727780525412388e-05
0821345W,8.727780525412388e-05
0722726W,8.727780525412388e-05
0745951W,8.727780525412388e-05
-117.445277,8.727780525412388e-05
-70.828611,8.727780525412388e-05
0087459W,8.727780525412388e-05
0081147W,8.727780525412388e-05
1224828W,8.727780525412388e-05
0076124W,8.727780525412388e-05
0833220W,8.727780525412388e-05
-121.351111,8.727780525412388e-05
0821316W,8.727780525412388e-05
0011125W,8.727780525412388e-05
0824114W,8.727780525412388e-05
-106.089166,8.727780525412388e-05
-93.211389,8.727780525412388e-05
-83.42,8.727780525412388e-05
0075038W,8.727780525412388e-05
1213623W,8.727780525412388e-05
0982534W,8.727780525412388e-05
0115298W,8.727780525412388e-05
0855430W,8.727780525412388e-05
0873713W,8.727780525412388e-05
-111.646389,8.727780525412388e-05
0091139W,8.727780525412388e-05
1174550W,8.727780525412388e-05
0008864W,8.727780525412388e-05
1151918W,8.727780525412388e-05
-71.920278,8.727780525412388e-05
0735958W,8.727780525412388e-05
1043833W,8.727780525412388e-05
0764258W,8.727780525412388e-05
0754522W,8.727780525412388e-05
0903029W,8.727780525412388e-05
-98.06,8.727780525412388e-05
0714533W,8.727780525412388e-05
0823926W,8.727780525412388e-05
0745045W,8.727780525412388e-05
-151.476667,8.727780525412388e-05
-95.450556,8.727780525412388e-05
0964437W,8.727780525412388e-05
0815721W,8.727780525412388e-05
0775817W,8.727780525412388e-05
0007600W,8.727780525412388e-05
-98.060278,8.727780525412388e-05
-104.535,8.727780525412388e-05
-96.741666,8.727780525412388e-05
0093598W,8.727780525412388e-05
1225858W,8.727780525412388e-05
-85.166667,8.727780525412388e-05
0801253W,8.727780525412388e-05
0097917W,8.727780525412388e-05
0955317W,8.727780525412388e-05
0835621W,8.727780525412388e-05
-111.448333,8.727780525412388e-05
-82.164167,8.727780525412388e-05
-149.0925,8.727780525412388e-05
0009252W,8.727780525412388e-05
1092243W,8.727780525412388e-05
-111.339166,8.727780525412388e-05
0812326W,8.727780525412388e-05
0087212W,8.727780525412388e-05
0093337W,8.727780525412388e-05
-80.432778,8.727780525412388e-05
-156.633333,8.727780525412388e-05
1172642W,8.727780525412388e-05
-121.299722,8.727780525412388e-05
-81.436944,8.727780525412388e-05
1043235W,8.727780525412388e-05
0971631W,8.727780525412388e-05
-119.207222,8.727780525412388e-05
1583020W,8.727780525412388e-05
0009300W,8.727780525412388e-05
1224846W,8.727780525412388e-05
0114321W,8.727780525412388e-05
-81.332778,8.727780525412388e-05
1223322W,8.727780525412388e-05
-78.723889,8.727780525412388e-05
0112054W,8.727780525412388e-05
0812325W,8.727780525412388e-05
0814619W,8.727780525412388e-05
-93.032778,8.727780525412388e-05
0833725W,8.727780525412388e-05
-85.522778,8.727780525412388e-05
1103830W,8.727780525412388e-05
0744013W,8.727780525412388e-05
0812133W,8.727780525412388e-05
-117.128056,8.727780525412388e-05
0803353W,8.727780525412388e-05
0841825W,8.727780525412388e-05
-95.485,8.727780525412388e-05
0795125W,8.727780525412388e-05
0862817W,8.727780525412388e-05
0085828W,8.727780525412388e-05
1652643W,8.727780525412388e-05
0114150W,8.727780525412388e-05
-85.582223,8.727780525412388e-05
0011226W,8.727780525412388e-05
0932433W,8.727780525412388e-05
0098337W,8.727780525412388e-05
-83.623611,8.727780525412388e-05
-91.149444,8.727780525412388e-05
-76.448889,8.727780525412388e-05
-80.677223,8.727780525412388e-05
0011035W,8.727780525412388e-05
0761946W,8.727780525412388e-05
1563833W,8.727780525412388e-05
-121.666667,8.727780525412388e-05
