Model,proportion
PA-15,0.00018018626755408404
47G3B1,0.00018018626755408404
180C,0.00018018626755408404
M20TN,0.00018018626755408404
VANS RV-6,0.00018018626755408404
F28C,0.00018018626755408404
269D,0.00018018626755408404
320D,0.00018018626755408404
172SP,0.00018018626755408404
737 7H4,0.00018018626755408404
S2R-G6,0.00018018626755408404
95-55,0.00018018626755408404
500-B,0.00018018626755408404
EC120B,0.00018018626755408404
M-20J,0.0001689246258319538
310P,0.0001689246258319538
737-222,0.0001689246258319538
PITTS S-1S,0.0001689246258319538
LANCAIR 235,0.0001689246258319538
320E,0.0001689246258319538
206B-3,0.0001689246258319538
Mustang II,0.0001689246258319538
L-1011-385-1,0.0001689246258319538
430,0.0001689246258319538
206H,0.0001689246258319538
Skybolt,0.0001689246258319538
H-18,0.0001689246258319538
PA46-500TP,0.0001689246258319538
690C,0.0001689246258319538
DHC-6-200,0.0001689246258319538
SA-300,0.0001689246258319538
MU-2B-35,0.0001689246258319538
PT-17,0.0001689246258319538
B55,0.0001689246258319538
172Q,0.0001689246258319538
DHC-8-102,0.0001689246258319538
G-IV,0.0001689246258319538
S-2A,0.0001689246258319538
A-1A,0.0001689246258319538
47G-3B-2,0.0001689246258319538
210F,0.0001689246258319538
PA 28R-200,0.0001689246258319538
G,0.0001689246258319538
35-33,0.0001689246258319538
7GC,0.0001689246258319538
RV-12,0.0001689246258319538
CH 2000,0.0001689246258319538
BC12D,0.0001689246258319538
SA-226T,0.0001689246258319538
MD11,0.0001689246258319538
T182,0.0001689246258319538
D17S,0.0001689246258319538
Sonex,0.0001689246258319538
RX-7,0.0001689246258319538
767-300,0.0001689246258319538
F28A,0.0001689246258319538
KR2,0.0001689246258319538
BEARHAWK,0.0001689246258319538
VP-1,0.0001689246258319538
P206B,0.0001689246258319538
757-223,0.00015766298410982353
PA28-180,0.00015766298410982353
Lancair IV-P,0.00015766298410982353
180F,0.00015766298410982353
RV7,0.00015766298410982353
ROTORWAY EXEC,0.00015766298410982353
12E,0.00015766298410982353
EC 130 B4,0.00015766298410982353
680FL,0.00015766298410982353
727-224,0.00015766298410982353
B-19,0.00015766298410982353
PA-18-105,0.00015766298410982353
C-99,0.00015766298410982353
VELOCITY,0.00015766298410982353
H-250,0.00015766298410982353
727-225,0.00015766298410982353
95B55,0.00015766298410982353
Searey,0.00015766298410982353
B95,0.00015766298410982353
310B,0.00015766298410982353
L-1011,0.00015766298410982353
