Air.carrier,proportion
DAH AIRCRAFT LLC,0.0001201345506967804
Caribbean Express,0.0001201345506967804
Tri Rotor Spray & Chemical,0.0001201345506967804
QUICKSILVER AIR INC,0.0001201345506967804
"West Air, Inc.",0.0001201345506967804
AMERIFLIGHT INC,0.0001201345506967804
Sunwing Airlines,0.0001201345506967804
FlightSafety International,0.0001201345506967804
ASESA,0.0001201345506967804
SUMMIT HELICOPTERS INC,0.0001201345506967804
NETJETS SALES INC,0.0001201345506967804
DUBOIS AVIATION INC,0.0001201345506967804
Isla Grande Flying School,0.0001201345506967804
CENTRAL AIRLINES INC,0.0001201345506967804
CIRRUS AVIATION INC,0.0001201345506967804
"Yute Air Alaska, Inc.",0.0001201345506967804
Robert Wilson,0.0001201345506967804
BRISTOW US LLC,0.0001201345506967804
Flightline,0.0001201345506967804
Sheble Aviation,0.0001201345506967804
COUNTY OF LOS ANGELES,0.0001201345506967804
ELMENDORF AIR FORCE BASE AERO CLUB,0.0001201345506967804
HAMMOCK FLYING SERVICE INC,0.0001201345506967804
SunExpress,0.0001201345506967804
EVA AIRWAYS CORP,0.0001201345506967804
Ryan Air Service,0.0001201345506967804
Regional Express Co.,0.0001201345506967804
Viking Express,0.0001201345506967804
Minuteman Aviation (dba: [ems]),0.0001201345506967804
AIRCAM NATIONAL HELICOPTER SERVICES INC,0.0001201345506967804
FEHMEL PLANES INC,0.0001201345506967804
McAir Aviation,0.0001201345506967804
Hillsboro Aviation Inc,0.0001201345506967804
OWEN FLYING SERVICE INC,0.0001201345506967804
HENDERSON STATE UNIVERSITY,0.0001201345506967804
MISSOURI STATE HIGHWAY PATROL,0.0001201345506967804
ALASKA CENTRAL EXPRESS INC,0.0001201345506967804
"Era Helicopters, Inc.",0.0001201345506967804
"South Central Air, Inc.",0.0001201345506967804
HORIZON AIR INDUSTRIES INC,0.0001201345506967804
BOYLE FLYING SERVICE INC,0.0001201345506967804
RYAN AIR INC,0.0001201345506967804
Hawaii Pacific Aviation Inc.,0.0001201345506967804
INTER-STATE AVIATION INC,0.0001201345506967804
WOODLEY CRAIG S,0.0001201345506967804
ATAC,0.0001201345506967804
Timberview Helicopters,0.0001201345506967804
Air Baltic,0.0001201345506967804
