latitude,longitude
423027N,0088585W
421142N,0084151W
423548N,0951424W
042130N,0913116W
431945N,0875950W
384551N,0873620W
040397N,1192118W
485130N,1163030W
039402N,1195234W
333137N,1121743W
315050N,1104548W
345757S,0711258W
701141N,1482755W
363956N,0761914W
294644N,0812038W
047480N,0119480W
391132N,0119444W
059148N,1551334W
062320N,0143140W
040243N,0755622W
,
385835N,0761947W
322933N,0805932W
042130N,0835621W
040513N,0913713W
441915N,0925229W
341217N,1182146W
341257N,0119446W
451846N,1223631W
341249N,0119539W
362519N,1051723W
030538N,0009425W
050380N,0000330E
036222N,0095594W
435730N,0904416W
405111N,0852726W
422520N,0087524W
471240N,0933059W
413522N,0754522W
044540N,0121121W
384347N,1094558W
361241N,1151329W
033135N,0117215W
385345N,0785345W
284823N,0082194W
371539N,0852956W
321637N,0971848W
285824N,0955149W
303421N,0972635W
385644N,1043411W
003887N,1044832W
374018N,0097440W
039110N,0763936W
402734N,0864513W
315633N,0102127W
040192N,0089450W
452855N,0925918W
404124N,0911331W
334118N,0112457W
385741N,1101339W
004190N,0104490W
033210N,0112180W
394141N,1195416W
036192N,0087551W
045759N,1151919W
042715N,0076543W
044038N,0883259W
391326N,0121018W
040626N,1024223W
036300N,0931832W
384336N,0903029W
047180N,0012290W
047614N,1221714W
401753N,0743118W
333136N,1121742W
341556N,0011002W
044832N,1151852W
413140N,0071220W
353845N,0803113W
405651N,0741852W
385835N,0761947W
391956N,0853713W
394754N,0825845W
004030N,1075321W
040022N,0105231W
404635N,0007659W
565735N,1583448W
032580N,0971631W
475158N,1195634W
032242N,1041347W
353853N,0094572W
381724N,1043227W
042235N,0010142W
445859N,0944453W
433249N,0835343W
040723N,0087162W
041282N,0843023W
345244N,0114457W
040375N,0891635W
045235N,0098610W
002800N,0009810W
042213N,1024713W
044259N,0074923W
361715N,0884231W
038856N,0894155W
031736N,1044352W
361154N,0955317W
343342N,0834248W
321245N,1013130W
272024N,0814719W
039139N,0744741W
365122N,0764055W
335858N,0083402W
405058N,0775055W
414216N,0734410W
402739N,0793628W
312717N,0087212W
145615N,0894844W
415817N,0713343W
025211N,0054291E
353451N,0763859W
422533N,0714734W
351459N,0871457W
374047N,0855625W
037749N,0921539W
303030N,0096426W
384214N,1073837W
422921N,0985526W
371710N,0107321W
384455N,0902212W
062617N,0150620W
038509N,0951134W
414721N,0901612W
421958N,0952641W
042037N,0942033W
048210N,0994526W
043515N,0096246W
433718N,0096130W
045428N,0941114W
044540N,0121121W
039402N,1195234W
040338N,1051227W
474645N,1164917W
037500N,1221848W
423617N,0011487W
471128N,0119181W
404544N,1191211W
043651N,0893154W
453752N,0089283W
475730N,1133334W
039404N,1195257W
003740N,0121350W
038025N,1195418W
622417N,1484740W
341724N,0903036W
412728S,0072557W
036321N,0853151W
355551N,0095824W
433531N,0071455W
029123N,0095294W
315423N,0914533W
039612N,0084257W
473123N,0964833W
043819N,0085158W
